,column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,timestamp
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30/06/1998
1,100.0638521,100.0231298,100.1680517,100.1435848,100.0201442,100.072078,100.051591,100.0199165,99.92617042,100.3683778,99.94876403,100.0747846,100.2031942,100.2676424,99.82051059,100.5220134,100.1235816,100.0730976,98.58168024,100.1219272,100.1317009,100.1020214,100.0760495,100.0215414,100.0697629,100.0299663,100.0206758,100.1202379,100.0597205,100.0851694,100.0330619,100.0591061,100.0633919,100.0810796,100.0623231,100.0960206,100.1573809,100.1117761,100.1479791,100.1162383,100.0709528,100.0918124,01/07/1998
2,100.1075404,100.1565114,100.4094479,100.2959933,100.0402884,100.1494117,100.1213905,100.0647287,99.95222792,100.4528133,100.0275886,100.1401518,100.307718,100.3421757,99.8771456,100.5726379,100.2609906,100.1470451,98.57362618,100.3518661,100.3845341,100.2862796,100.1874708,99.91134899,100.1293357,100.2420359,100.0413516,100.2550012,100.2037043,100.2230028,100.0514642,100.1306709,100.173411,100.193211,100.1435902,100.1340665,100.2878303,100.2522724,100.2695039,100.270692,100.1419055,100.201644,02/07/1998
3,100.1327452,100.1850381,100.5903171,100.2069546,100.0604326,100.1756902,100.1464273,100.0896243,99.97828542,100.3325114,100.051236,100.1628642,100.2884857,100.3430227,99.7995992,100.4406822,100.1598783,100.090097,98.55751806,100.2814045,100.3062859,100.2309783,100.1389608,99.93371887,100.1520674,100.267392,100.0620275,100.2412828,100.1488923,100.1715988,100.0333738,100.0912668,100.121021,100.1463869,100.1040548,100.0579747,100.239017,100.2111326,100.2537966,100.2491959,100.1227066,100.1038252,03/07/1998
4,100.2428061,100.2744732,100.6102554,100.4411824,100.5084675,100.3401182,100.2336768,100.2904492,100.0564579,100.4617799,100.096166,100.2963685,100.4088971,100.388759,99.94336499,100.5153741,100.3759301,100.2957901,98.67832894,100.6290739,100.6625693,100.5615942,100.4310312,100.0836799,100.297864,100.3818788,100.3156509,100.4615844,100.4000458,100.4472655,100.1453475,100.2969792,100.3903057,100.4480326,100.3352268,100.2527334,100.4670931,100.4758245,100.4844457,100.4936149,100.2529258,100.4436169,06/07/1998
5,100.2402857,100.3392366,100.5753633,100.3080255,100.6133563,100.3791604,100.2663005,100.2539356,99.91574742,100.5641485,100.1805083,100.3520415,100.4030437,100.4624454,99.95643461,100.7510685,100.26704,100.177644,98.63000459,100.3573882,100.3778271,100.3163139,100.2428025,99.97763012,100.297864,100.4195288,100.4314355,100.3252072,100.2838771,100.2565162,100.1032404,100.1697852,100.226063,100.2498928,100.1941076,100.1313489,100.3097122,100.3718107,100.3513471,100.379765,100.1803035,100.2823017,07/07/1998
6,100.2436463,100.4286717,100.4414917,100.1836923,100.7106042,100.412947,100.2647831,100.034024,99.94180492,100.1957708,100.0906483,100.3786316,100.2115562,100.2193651,99.74209288,100.2041578,100.1840761,100.0960468,98.59456673,100.1934932,100.2355576,100.1086957,100.0553317,99.84341083,100.217911,100.616231,100.4528005,100.188023,100.1799797,100.1151551,100.0754809,100.0843131,100.0874914,100.0418952,100.0667159,100.0688449,100.1893621,100.2103564,100.2926515,100.2372536,100.1285497,100.1973537,08/07/1998
7,100.3133795,100.4063129,100.6843121,100.5221995,100.5522291,100.5218149,100.3535499,100.0290449,99.96786242,100.6463424,100.13479,100.441506,100.5577389,100.5403666,100.1219831,100.6830159,100.5893893,100.478534,98.83941012,100.6339333,100.6452937,100.6109363,100.595005,99.99668594,100.3660592,100.674627,100.4734764,100.5874711,100.6642888,100.5649404,100.3402878,100.5255808,100.5689558,100.6057559,100.5221961,100.4067287,100.6817034,100.5728524,100.6820267,100.6273686,100.4048482,100.7001768,09/07/1998
8,100.3285024,99.9899771,101.0132946,100.8767497,100.5723733,100.5968961,100.3649303,100.0348539,99.99391992,101.1678996,100.1647433,100.4572939,100.8278284,100.9926483,100.3668206,101.5262044,100.5937103,100.4317855,98.81122091,100.6595557,100.6778125,100.6226163,100.5528114,99.9237767,100.3009994,100.7176556,100.4941522,100.6076452,100.6004778,100.5495696,100.2984926,100.4890741,100.5126365,100.5695289,100.4815625,100.4520214,100.6884363,100.6163209,100.6828534,100.6751377,100.4048482,100.6280997,10/07/1998
9,100.3150599,100.0578244,100.675055,100.4893114,100.6335005,100.6930002,100.4021061,100.0099583,100.0720924,100.5394904,100.1946967,100.4697579,100.5058951,100.5022529,100.0540211,100.5643388,100.4986475,100.4071364,98.84746418,100.4395566,100.4446938,100.4293002,100.4143559,99.64456743,100.2618068,100.7683678,100.5568689,100.5471228,100.5219412,100.4160199,100.3374806,100.4285193,100.4065467,100.4174738,100.4013936,100.4348102,100.555462,100.5495657,100.5704224,100.598707,100.3856492,100.5954935,13/07/1998
